model	position	utterance	utmos	sim_o	utmos_rank	sim_o_rank	rank_sum
Swift-TTS	1	common_voice_en_2586258-common_voice_en_2586259	4.416156768798828	0.7302289009094238	2	1	3
Swift-TTS	2	common_voice_en_21877403-common_voice_en_21877406	4.415255069732666	0.6695992946624756	3	6	9
Swift-TTS	3	common_voice_en_18200641-common_voice_en_18200765	4.404754638671875	0.6715198755264282	4	5	9
Swift-TTS	4	common_voice_en_19967495-common_voice_en_19967497	4.474839210510254	0.5875024795532227	1	13	14
Swift-TTS	5	common_voice_en_28064064-common_voice_en_28064058	4.324674606323242	0.7271379232406616	12	2	14
Swift-TTS-Distill	1	common_voice_en_18200641-common_voice_en_18200765	4.399116039276123	0.6788941621780396	1	5	6
Swift-TTS-Distill	2	common_voice_en_21877403-common_voice_en_21877406	4.305018424987793	0.671019434928894	5	6	11
Swift-TTS-Distill	3	common_voice_en_19397397-common_voice_en_19397407	4.312839508056641	0.6315823793411255	4	9	13
Swift-TTS-Distill	4	common_voice_en_17851231-common_voice_en_17851256	4.217850685119629	0.7056100964546204	10	4	14
Swift-TTS-Distill	5	common_voice_en_28064064-common_voice_en_28064058	4.190171718597412	0.7167133092880249	12	3	15
